year,stint_x,tmID,GP_x,GS,minutes,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage_player,free_throw_rate_player,height,weight,awardPointsPlayers,GP_y,won_x,lost_x,win_percentage,effective_fg_percentage,turnover_percentage,free_throw_factor,rebounding_factor,points_per_game,points_allowed_per_game,playoff,stint_y,awardPointsCoaches
9,0,NYL,14,3,154,65,59,15,0.4745762711864407,0.6,0.0,0.49542682926829273,0.2597402597402597,0.025974025974025976,0.06493506493506493,0.025974025974025976,0.2222222222222222,0.4745762711864407,0.6,77.0,215,0.0,34,19,15,0.5588235294117647,0.48039667896678967,0.18219243784806416,0.7503828483920367,0.9728434013081955,75.67647058823529,74.6470588235294,1,0,0.0
10,0,IND,27,0,181,72,55,20,0.5272727272727272,0.7,0.0,0.5642633228840126,0.22099447513812154,0.03867403314917127,0.07734806629834254,0.03314917127071823,0.2857142857142857,0.5272727272727272,0.7,77.0,215,0.0,34,22,12,0.6470588235294118,0.450497287522604,0.17289433583829333,0.82171581769437,0.9975361660541493,76.6470588235294,73.55882352941177,1,0,0.0
7,0,LAS,14,0,118,41,53,10,0.2641509433962264,0.6,0.21212121212121213,0.35714285714285715,0.11016949152542373,0.0423728813559322,0.00847457627118644,0.06779661016949153,1.6,0.330188679245283,0.6,72.0,172,0.0,34,25,9,0.7352941176470589,0.4635535307517084,0.17517156316017374,0.743801652892562,1.0365147828651478,75.73529411764706,72.82352941176471,1,0,0.0
8,0,HOU,3,0,19,6,6,0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,67.0,138,0.0,34,13,21,0.38235294117647056,0.4550953932061424,0.2042436210167654,0.768377253814147,1.0339985545809927,73.82352941176471,77.29411764705883,0,0,0.0
10,0,DET,1,0,4,2,5,1,0.0,0.0,0.0,0.1838235294117647,0.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,150,0.0,34,18,16,0.5294117647058824,0.4639877031181379,0.1738720607342114,0.7475728155339806,1.0504187961070948,78.0,77.76470588235294,1,1,0.0
10,0,DET,1,0,4,2,5,1,0.0,0.0,0.0,0.1838235294117647,0.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,150,0.0,34,18,16,0.5294117647058824,0.4639877031181379,0.1738720607342114,0.7475728155339806,1.0504187961070948,78.0,77.76470588235294,1,2,0.0
1,0,DET,27,10,433,145,126,32,0.40476190476190477,0.78125,0.32142857142857145,0.5175613934894345,0.10854503464203233,0.06235565819861432,0.009237875288683603,0.10854503464203233,1.4242424242424243,0.47619047619047616,0.78125,70.0,160,0.0,32,14,18,0.4375,0.4575757575757576,0.18810602081233407,0.7424892703862661,1.0081173057319845,72.84375,75.8125,0,0,0.0
4,0,PHO,34,27,1065,405,357,69,0.4117647058823529,0.7246376811594203,0.41216216216216217,0.5227695167286245,0.09859154929577464,0.04788732394366197,0.011267605633802818,0.0676056338028169,1.3584905660377358,0.49719887955182074,0.7246376811594203,70.0,160,0.0,34,8,26,0.23529411764705882,0.4100238663484487,0.16994011296227968,0.6816546762589928,0.9853547018448261,61.6764705882353,66.76470588235294,0,0,0.0
5,0,PHO,34,34,1152,488,396,102,0.4166666666666667,0.8627450980392157,0.3867403314917127,0.5534385773906733,0.10677083333333333,0.044270833333333336,0.006944444444444444,0.09288194444444445,1.5735294117647058,0.5050505050505051,0.8627450980392157,70.0,160,0.0,34,17,17,0.5,0.4797086368366285,0.17515250347285136,0.7625418060200669,0.9492291683342672,67.6470588235294,65.73529411764706,0,0,0.0
6,0,PHO,33,33,1131,433,364,120,0.3901098901098901,0.85,0.3263888888888889,0.5194337811900192,0.10079575596816977,0.036251105216622455,0.00618921308576481,0.07073386383731212,0.9876543209876543,0.45467032967032966,0.85,70.0,160,0.0,34,16,18,0.47058823529411764,0.458876629889669,0.1835989658797125,0.7662337662337663,1.0196215779444087,69.44117647058823,69.23529411764706,0,0,0.0
7,0,IND,34,34,1001,348,313,66,0.3929712460063898,0.8181818181818182,0.3779527559055118,0.5087124312945854,0.14585414585414586,0.03896103896103896,0.008991008991008992,0.07592407592407592,1.3818181818181818,0.4696485623003195,0.8181818181818182,70.0,160,0.0,34,21,13,0.6176470588235294,0.4470615671641791,0.1778113044883884,0.7662721893491125,1.028729557102161,71.61764705882354,68.11764705882354,1,0,0.0
8,0,IND,34,34,795,296,268,32,0.417910447761194,0.90625,0.4095238095238095,0.5246738513896767,0.13962264150943396,0.03270440251572327,0.005031446540880503,0.06540880503144654,1.1304347826086956,0.498134328358209,0.90625,70.0,160,0.0,34,21,13,0.6176470588235294,0.4619289340101523,0.19455124393885342,0.7747163695299838,0.9877289775912035,72.94117647058823,69.70588235294117,1,0,0.0
9,0,MIN,34,34,847,288,271,38,0.39114391143911437,0.7631578947368421,0.3643410852713178,0.5004865841790629,0.12160566706021252,0.031877213695395513,0.0059031877213695395,0.06965761511216056,1.903225806451613,0.477859778597786,0.7631578947368421,70.0,160,0.0,34,16,18,0.47058823529411764,0.45918367346938777,0.1495962169905805,0.7546296296296297,0.9840551195289471,81.38235294117646,80.02941176470588,0,0,0.0
10,0,DET,7,7,113,10,18,0,0.2777777777777778,0.0,0.0,0.2777777777777778,0.17699115044247787,0.035398230088495575,0.0,0.08849557522123894,1.4285714285714286,0.2777777777777778,0.0,70.0,160,0.0,34,18,16,0.5294117647058824,0.4639877031181379,0.1738720607342114,0.7475728155339806,1.0504187961070948,78.0,77.76470588235294,1,1,0.0
10,0,DET,7,7,113,10,18,0,0.2777777777777778,0.0,0.0,0.2777777777777778,0.17699115044247787,0.035398230088495575,0.0,0.08849557522123894,1.4285714285714286,0.2777777777777778,0.0,70.0,160,0.0,34,18,16,0.5294117647058824,0.4639877031181379,0.1738720607342114,0.7475728155339806,1.0504187961070948,78.0,77.76470588235294,1,2,0.0
5,0,CON,23,0,140,19,26,2,0.2692307692307692,1.0,0.25,0.35342261904761907,0.06428571428571428,0.05714285714285714,0.0,0.1,1.4,0.3269230769230769,0.0,70.0,140,0.0,34,18,16,0.5294117647058824,0.4634324719648952,0.16663059943735123,0.735593220338983,1.0006862762757354,68.67647058823529,67.76470588235294,1,0,0.0
6,0,CON,34,1,359,24,22,16,0.36363636363636365,0.4375,0.14285714285714285,0.4132231404958678,0.08356545961002786,0.03064066852367688,0.005571030640668524,0.11142061281337047,1.5384615384615385,0.38636363636363635,0.4375,70.0,140,0.0,34,26,8,0.7647058823529411,0.48444444444444446,0.16260630567107476,0.7441860465116279,0.9991095489162273,72.76470588235294,66.0,1,0,0.0
7,0,PHO,31,8,467,96,75,26,0.5066666666666667,0.6153846153846154,0.26666666666666666,0.5552984729291994,0.12205567451820129,0.04925053533190578,0.014989293361884369,0.145610278372591,2.72,0.5333333333333333,0.6153846153846154,70.0,140,0.0,34,18,16,0.5294117647058824,0.4977403451109285,0.1391267123287671,0.7850877192982456,0.9415607987943853,87.05882352941177,84.67647058823529,0,0,0.0
8,0,PHO,23,0,200,36,30,11,0.43333333333333335,0.8181818181818182,0.1,0.5166475315729047,0.115,0.03,0.005,0.12,1.5,0.45,0.8181818181818182,70.0,140,0.0,34,23,11,0.6764705882352942,0.4979330301777594,0.15015015015015015,0.8169761273209549,0.8903083995358386,88.97058823529412,85.41176470588235,1,0,0.0
9,0,PHO,17,0,145,14,19,4,0.2631578947368421,0.75,0.125,0.33718689788053946,0.11724137931034483,0.013793103448275862,0.027586206896551724,0.18620689655172415,2.7,0.2894736842105263,0.0,70.0,140,0.0,34,16,18,0.47058823529411764,0.47645875251509057,0.14755048097232448,0.8305304010349288,0.9633151841025553,88.52941176470588,88.5,0,0,0.0
3,0,LAS,11,0,41,12,14,10,0.35714285714285715,0.2,0.0,0.32608695652173914,0.34146341463414637,0.07317073170731707,0.0,0.04878048780487805,0.3333333333333333,0.35714285714285715,0.2,77.0,190,0.0,32,25,7,0.78125,0.4935064935064935,0.18445839874411302,0.737984496124031,1.0594135465361818,76.625,69.84375,1,0,0.0
8,0,CON,32,2,391,136,118,21,0.5338983050847458,0.47619047619047616,0.0,0.534423137378183,0.24808184143222506,0.017902813299232736,0.0741687979539642,0.03580562659846547,0.4,0.5338983050847458,0.47619047619047616,77.0,190,0.0,34,18,16,0.5294117647058824,0.4720670391061452,0.17210606833248343,0.7772357723577236,1.0163185722810475,78.67647058823529,76.26470588235294,1,0,0.0
9,0,ATL,12,8,277,112,82,26,0.5853658536585366,0.6153846153846154,0.0,0.5993150684931507,0.2851985559566787,0.061371841155234655,0.07581227436823104,0.02888086642599278,0.4,0.5853658536585366,0.6153846153846154,77.0,190,0.0,34,4,30,0.11764705882352941,0.44109831709477415,0.18706624605678235,0.7475862068965518,0.930019443098284,74.52941176470588,84.67647058823529,0,0,0.0
10,0,ATL,34,34,928,402,322,95,0.5279503105590062,0.6526315789473685,0.0,0.5525013743815282,0.3329741379310345,0.034482758620689655,0.04741379310344827,0.040948275862068964,0.5428571428571428,0.5279503105590062,0.6526315789473685,77.0,190,0.0,34,18,16,0.5294117647058824,0.471993410214168,0.17610888902155097,0.7536423841059603,1.0375773753209894,84.1470588235294,82.26470588235294,1,0,10.0
1,0,MIN,32,29,791,142,142,45,0.38028169014084506,0.7555555555555555,0.0,0.43881334981458586,0.17825537294563842,0.04677623261694058,0.0025284450063211127,0.07458912768647281,0.8428571428571429,0.38028169014084506,0.7555555555555555,71.0,165,0.0,32,15,17,0.46875,0.4762424904423812,0.19200457411299296,0.7584459459459459,0.9469884604559526,68.53125,68.375,0,0,0.0
2,0,UTA,4,0,6,0,0,4,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,71.0,165,0.0,32,19,13,0.59375,0.4597079502433748,0.18681318681318682,0.7511111111111111,1.0115015820109654,68.96875,68.5,1,2,0.0
2,0,UTA,4,0,6,0,0,4,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,71.0,165,0.0,32,19,13,0.59375,0.4597079502433748,0.18681318681318682,0.7511111111111111,1.0115015820109654,68.96875,68.5,1,1,0.0
4,0,SAS,24,0,168,41,65,6,0.24615384615384617,0.8333333333333334,0.17391304347826086,0.30307510348905975,0.08928571428571429,0.041666666666666664,0.023809523809523808,0.08928571428571429,1.0714285714285714,0.27692307692307694,0.8333333333333334,69.0,154,0.0,34,12,22,0.35294117647058826,0.4054642166344294,0.17660180939397693,0.7309782608695652,0.9803670892869922,65.1470588235294,71.38235294117646,0,2,0.0
4,0,SAS,24,0,168,41,65,6,0.24615384615384617,0.8333333333333334,0.17391304347826086,0.30307510348905975,0.08928571428571429,0.041666666666666664,0.023809523809523808,0.08928571428571429,1.0714285714285714,0.27692307692307694,0.8333333333333334,69.0,154,0.0,34,12,22,0.35294117647058826,0.4054642166344294,0.17660180939397693,0.7309782608695652,0.9803670892869922,65.1470588235294,71.38235294117646,0,1,0.0
5,0,SAS,23,0,205,37,54,1,0.2962962962962963,0.0,0.2777777777777778,0.33982365907421014,0.06829268292682927,0.01951219512195122,0.004878048780487805,0.09268292682926829,1.3571428571428572,0.3425925925925926,0.0,69.0,154,0.0,34,9,25,0.2647058823529412,0.43891752577319587,0.18795890551492678,0.7770700636942676,0.982321411356406,64.44117647058823,69.52941176470588,0,2,0.0
5,0,SAS,23,0,205,37,54,1,0.2962962962962963,0.0,0.2777777777777778,0.33982365907421014,0.06829268292682927,0.01951219512195122,0.004878048780487805,0.09268292682926829,1.3571428571428572,0.3425925925925926,0.0,69.0,154,0.0,34,9,25,0.2647058823529412,0.43891752577319587,0.18795890551492678,0.7770700636942676,0.982321411356406,64.44117647058823,69.52941176470588,0,1,0.0
6,0,SAS,10,0,51,9,16,4,0.25,0.25,0.0,0.25337837837837834,0.11764705882352941,0.0392156862745098,0.0,0.058823529411764705,1.0,0.25,0.0,69.0,154,0.0,34,7,27,0.20588235294117646,0.44680851063829785,0.2015156993913096,0.7714723926380368,0.9294908741594621,62.970588235294116,70.61764705882354,0,0,0.0
1,0,LAS,31,31,882,338,291,77,0.4536082474226804,0.8051948051948052,0.35294117647058826,0.520192070918493,0.11904761904761904,0.045351473922902494,0.011337868480725623,0.10884353741496598,1.6,0.4742268041237113,0.8051948051948052,69.0,148,0.0,32,28,4,0.875,0.4785276073619632,0.17088876828069763,0.7864357864357865,1.0353649149028223,75.53125,67.78125,1,0,10.0
2,0,LAS,29,29,925,340,319,86,0.4169278996865204,0.7906976744186046,0.17647058823529413,0.4764039905840152,0.0918918918918919,0.02918918918918919,0.002162162162162162,0.12324324324324325,1.6056338028169015,0.4263322884012539,0.7906976744186046,69.0,148,0.0,32,28,4,0.875,0.49039881831610044,0.16041840636399596,0.7558922558922558,1.0779725878230766,76.28125,67.6875,1,0,0.0
3,0,LAS,30,30,958,319,320,59,0.390625,0.8305084745762712,0.3508771929824561,0.46103595791420976,0.09603340292275574,0.029227557411273485,0.005219206680584551,0.12421711899791232,1.451219512195122,0.421875,0.8305084745762712,69.0,148,0.0,32,25,7,0.78125,0.4935064935064935,0.18445839874411302,0.737984496124031,1.0594135465361818,76.625,69.84375,1,0,0.0
4,0,LAS,30,30,1042,412,364,94,0.4368131868131868,0.8829787234042553,0.21153846153846154,0.5081902506414051,0.12092130518234165,0.03358925143953935,0.009596928982725527,0.0854126679462572,1.289855072463768,0.4519230769230769,0.8829787234042553,69.0,148,0.0,34,24,10,0.7058823529411765,0.45841121495327103,0.16160532541123396,0.7920353982300885,1.0187729554177738,73.5,71.52941176470588,1,0,0.0
5,0,LAS,32,21,913,311,269,87,0.4423791821561338,0.7816091954022989,0.45454545454545453,0.5060531111689665,0.12048192771084337,0.03943044906900329,0.001095290251916758,0.12267250821467689,1.5774647887323943,0.4516728624535316,0.7816091954022989,69.0,148,0.0,34,25,9,0.7352941176470589,0.4748670855485742,0.18143280469736048,0.7340720221606648,1.0049925719248942,73.38235294117646,69.44117647058823,1,1,0.0
5,0,LAS,32,21,913,311,269,87,0.4423791821561338,0.7816091954022989,0.45454545454545453,0.5060531111689665,0.12048192771084337,0.03943044906900329,0.001095290251916758,0.12267250821467689,1.5774647887323943,0.4516728624535316,0.7816091954022989,69.0,148,0.0,34,25,9,0.7352941176470589,0.4748670855485742,0.18143280469736048,0.7340720221606648,1.0049925719248942,73.38235294117646,69.44117647058823,1,2,0.0
5,0,LAS,32,21,913,311,269,87,0.4423791821561338,0.7816091954022989,0.45454545454545453,0.5060531111689665,0.12048192771084337,0.03943044906900329,0.001095290251916758,0.12267250821467689,1.5774647887323943,0.4516728624535316,0.7816091954022989,69.0,148,0.0,34,25,9,0.7352941176470589,0.4748670855485742,0.18143280469736048,0.7340720221606648,1.0049925719248942,73.38235294117646,69.44117647058823,1,2,0.0
6,0,LAS,30,23,607,160,154,40,0.4090909090909091,0.85,0.0,0.46620046620046623,0.11037891268533773,0.039538714991762765,0.0032948929159802307,0.12685337726523888,1.925,0.4090909090909091,0.85,69.0,148,0.0,34,17,17,0.5,0.45788442703232124,0.17501422879908937,0.7238095238095238,0.98455688937778,68.41176470588235,68.97058823529412,1,1,0.0
6,0,LAS,30,23,607,160,154,40,0.4090909090909091,0.85,0.0,0.46620046620046623,0.11037891268533773,0.039538714991762765,0.0032948929159802307,0.12685337726523888,1.925,0.4090909090909091,0.85,69.0,148,0.0,34,17,17,0.5,0.45788442703232124,0.17501422879908937,0.7238095238095238,0.98455688937778,68.41176470588235,68.97058823529412,1,2,0.0
7,0,HOU,23,14,591,162,171,28,0.40350877192982454,0.8214285714285714,0.1111111111111111,0.4418503163866463,0.10152284263959391,0.021996615905245348,0.00338409475465313,0.09137055837563451,0.9310344827586207,0.4064327485380117,0.8214285714285714,69.0,148,0.0,34,18,16,0.5294117647058824,0.48260247855100097,0.1910664614221286,0.7109144542772862,0.9872137480111769,73.73529411764706,72.02941176470588,1,0,0.0
8,0,HOU,18,0,490,216,205,36,0.43902439024390244,0.8611111111111112,0.29411764705882354,0.4890418402463322,0.11632653061224489,0.04897959183673469,0.012244897959183673,0.11632653061224489,1.5,0.45121951219512196,0.8611111111111112,69.0,148,0.0,34,13,21,0.38235294117647056,0.4550953932061424,0.2042436210167654,0.768377253814147,1.0339985545809927,73.82352941176471,77.29411764705883,0,0,0.0
9,0,HOU,24,20,634,216,221,42,0.40271493212669685,0.8571428571428571,0.15384615384615385,0.4509771170870219,0.11987381703470032,0.03943217665615142,0.00473186119873817,0.0694006309148265,0.9166666666666666,0.4072398190045249,0.8571428571428571,69.0,148,0.0,34,17,17,0.5,0.4514234071396295,0.19101739884687993,0.7649456521739131,1.0330629095918975,75.32352941176471,76.6470588235294,0,0,0.0
10,0,IND,32,1,424,132,134,21,0.41044776119402987,0.8571428571428571,0.4,0.460765149399609,0.12028301886792453,0.02830188679245283,0.007075471698113208,0.08726415094339622,1.3703703703703705,0.4253731343283582,0.8571428571428571,69.0,148,0.0,34,22,12,0.6470588235294118,0.450497287522604,0.17289433583829333,0.82171581769437,0.9975361660541493,76.6470588235294,73.55882352941177,1,0,0.0
4,0,NYL,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,195,0.0,34,16,18,0.47058823529411764,0.47607904316172645,0.17875616138258382,0.7672253258845437,0.9469817993413693,65.97058823529412,66.3529411764706,0,0,0.0
5,0,NYL,26,16,479,131,106,61,0.46226415094339623,0.5409836065573771,0.0,0.4930743751881963,0.14822546972860126,0.022964509394572025,0.016701461377870562,0.033402922755741124,0.7619047619047619,0.46226415094339623,0.5409836065573771,74.0,195,0.0,34,18,16,0.5294117647058824,0.4798136645962733,0.18939677501459778,0.7495291902071564,0.9312208843197345,66.23529411764706,67.55882352941177,1,1,0.0
5,0,NYL,26,16,479,131,106,61,0.46226415094339623,0.5409836065573771,0.0,0.4930743751881963,0.14822546972860126,0.022964509394572025,0.016701461377870562,0.033402922755741124,0.7619047619047619,0.46226415094339623,0.5409836065573771,74.0,195,0.0,34,18,16,0.5294117647058824,0.4798136645962733,0.18939677501459778,0.7495291902071564,0.9312208843197345,66.23529411764706,67.55882352941177,1,2,0.0
8,0,NYL,7,2,35,10,11,2,0.36363636363636365,0.5,1.0,0.42087542087542085,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0.4090909090909091,0.0,69.0,145,0.0,34,16,18,0.47058823529411764,0.47508385241974127,0.20716268363685603,0.7413793103448276,0.9311528295782643,70.97058823529412,73.55882352941177,1,0,0.0
1,0,ORL,32,31,820,228,222,57,0.42342342342342343,0.7017543859649122,0.0,0.46138902379796015,0.15121951219512195,0.01951219512195122,0.07682926829268293,0.046341463414634146,0.7037037037037037,0.42342342342342343,0.7017543859649122,77.0,187,0.0,32,16,16,0.5,0.4738356881214024,0.18428356918596717,0.7271062271062271,0.958094619713289,69.0,69.78125,1,0,0.0
2,0,ORL,10,0,65,19,19,6,0.3684210526315789,0.8333333333333334,0.0,0.4390018484288355,0.09230769230769231,0.046153846153846156,0.07692307692307693,0.03076923076923077,0.2857142857142857,0.3684210526315789,0.8333333333333334,77.0,187,0.0,32,13,19,0.40625,0.44670846394984326,0.19672519117842827,0.7325383304940375,1.0109539700195984,66.875,68.90625,0,0,0.0
3,0,ORL,26,0,260,88,53,46,0.49056603773584906,0.782608695652174,0.0,0.6007646095030038,0.1346153846153846,0.015384615384615385,0.05,0.038461538461538464,0.5,0.49056603773584906,0.782608695652174,77.0,187,0.0,32,16,16,0.5,0.46003134796238243,0.17180059075290857,0.7631578947368421,0.9404596868534223,70.4375,70.46875,0,0,0.0
2,0,ORL,22,0,439,154,141,47,0.3617021276595745,0.723404255319149,0.3157894736842105,0.47624938149430973,0.11617312072892938,0.08428246013667426,0.015945330296127564,0.0888382687927107,0.8863636363636364,0.425531914893617,0.723404255319149,72.0,167,0.0,32,13,19,0.40625,0.44670846394984326,0.19672519117842827,0.7325383304940375,1.0109539700195984,66.875,68.90625,0,0,0.0
3,0,ORL,32,30,830,271,205,67,0.44878048780487806,0.8656716417910447,0.3670886075949367,0.5778744455817127,0.16265060240963855,0.05903614457831325,0.01566265060240964,0.06385542168674699,1.2619047619047619,0.5195121951219512,0.8656716417910447,72.0,167,0.0,32,16,16,0.5,0.46003134796238243,0.17180059075290857,0.7631578947368421,0.9404596868534223,70.4375,70.46875,0,0,0.0
4,0,CON,28,27,843,336,274,68,0.43795620437956206,0.7205882352941176,0.3821138211382114,0.5527770465912082,0.1257413997627521,0.036773428232502965,0.013048635824436536,0.066429418742586,2.0,0.5237226277372263,0.7205882352941176,72.0,167,0.0,34,18,16,0.5294117647058824,0.45313986679352997,0.15388761240178142,0.7414860681114551,0.9663616092167611,70.11764705882354,70.8529411764706,1,0,0.0
5,0,CON,34,34,1120,364,321,77,0.3894080996884735,0.7922077922077922,0.3464052287581699,0.5128494138863842,0.11785714285714285,0.044642857142857144,0.011607142857142858,0.08035714285714286,1.7307692307692308,0.4719626168224299,0.7922077922077922,72.0,167,0.0,34,18,16,0.5294117647058824,0.4634324719648952,0.16663059943735123,0.735593220338983,1.0006862762757354,68.67647058823529,67.76470588235294,1,0,0.0
6,0,CON,32,32,998,351,288,106,0.4131944444444444,0.7735849056603774,0.2818181818181818,0.5244441788190294,0.13026052104208416,0.04809619238476954,0.004008016032064128,0.09418837675350701,1.7407407407407407,0.4670138888888889,0.7735849056603774,72.0,167,0.0,34,26,8,0.7647058823529411,0.48444444444444446,0.16260630567107476,0.7441860465116279,0.9991095489162273,72.76470588235294,66.0,1,0,0.0
7,0,CON,32,32,1003,525,404,112,0.4430693069306931,0.8392857142857143,0.42196531791907516,0.5791122484998236,0.12063808574277168,0.06181455633100698,0.003988035892323031,0.07876370887337986,1.082191780821918,0.5334158415841584,0.8392857142857143,72.0,167,1.0,34,26,8,0.7647058823529411,0.4824007220216607,0.1698050875454245,0.8074074074074075,1.0185061728395062,78.91176470588235,71.08823529411765,1,0,10.0
8,0,CON,34,34,1133,577,484,122,0.42768595041322316,0.7786885245901639,0.3383084577114428,0.5365644993304568,0.13945278022947927,0.05736981465136805,0.0088261253309797,0.11032656663724624,1.3157894736842106,0.49793388429752067,0.7786885245901639,72.0,167,0.0,34,18,16,0.5294117647058824,0.4720670391061452,0.17210606833248343,0.7772357723577236,1.0163185722810475,78.67647058823529,76.26470588235294,1,0,0.0
9,0,IND,33,33,1134,516,458,149,0.37117903930131,0.7986577181208053,0.32386363636363635,0.4927801971120789,0.11904761904761904,0.04673721340388007,0.009700176366843033,0.09347442680776014,1.06,0.4334061135371179,0.7986577181208053,72.0,167,0.0,34,17,17,0.5,0.4538779256539697,0.19163740237957966,0.7545731707317073,0.9923948838309408,72.73529411764706,72.26470588235294,1,0,0.0
10,0,IND,31,31,1003,547,459,122,0.4095860566448802,0.860655737704918,0.3492063492063492,0.5334711711008817,0.11964107676969092,0.05583250249252243,0.006979062811565304,0.0847457627118644,1.1333333333333333,0.48148148148148145,0.860655737704918,72.0,167,0.0,34,22,12,0.6470588235294118,0.450497287522604,0.17289433583829333,0.82171581769437,0.9975361660541493,76.6470588235294,73.55882352941177,1,0,0.0
7,0,MIN,31,0,387,105,92,39,0.358695652173913,0.6923076923076923,0.32432432432432434,0.48094540124587765,0.07493540051679587,0.023255813953488372,0.0,0.09302325581395349,1.5,0.42391304347826086,0.6923076923076923,67.0,135,0.0,34,10,24,0.29411764705882354,0.46087743102668477,0.1743054093874974,0.7121879588839941,0.9737758584662534,74.20588235294117,80.44117647058823,0,2,0.0
7,0,MIN,31,0,387,105,92,39,0.358695652173913,0.6923076923076923,0.32432432432432434,0.48094540124587765,0.07493540051679587,0.023255813953488372,0.0,0.09302325581395349,1.5,0.42391304347826086,0.6923076923076923,67.0,135,0.0,34,10,24,0.29411764705882354,0.46087743102668477,0.1743054093874974,0.7121879588839941,0.9737758584662534,74.20588235294117,80.44117647058823,0,1,0.0
8,0,MIN,5,0,48,7,9,4,0.1111111111111111,1.0,0.125,0.3252788104089219,0.10416666666666667,0.020833333333333332,0.0,0.14583333333333334,1.75,0.16666666666666666,0.0,67.0,135,0.0,34,10,24,0.29411764705882354,0.4469214437367304,0.17462708867694302,0.787833827893175,1.0433578658038265,77.52941176470588,80.94117647058823,0,0,0.0
9,0,NYL,6,0,45,11,6,6,0.3333333333333333,1.0,0.25,0.6365740740740741,0.044444444444444446,0.0,0.0,0.06666666666666667,0.6,0.4166666666666667,1.0,67.0,135,0.0,34,19,15,0.5588235294117647,0.48039667896678967,0.18219243784806416,0.7503828483920367,0.9728434013081955,75.67647058823529,74.6470588235294,1,0,0.0
7,0,CHI,34,31,1032,467,407,122,0.457002457002457,0.7786885245901639,0.0,0.506859425197534,0.1821705426356589,0.041666666666666664,0.02422480620155039,0.05813953488372093,1.0,0.457002457002457,0.7786885245901639,74.0,162,0.0,34,5,29,0.14705882352941177,0.43057471264367814,0.17655414550473714,0.6982892690513219,0.9354594922575444,68.29411764705883,79.02941176470588,0,0,0.0
8,0,CHI,33,33,1078,544,471,160,0.445859872611465,0.775,0.0,0.5024011821204285,0.23562152133580705,0.026901669758812616,0.038033395176252316,0.04267161410018553,0.5679012345679012,0.445859872611465,0.775,74.0,162,0.0,34,14,20,0.4117647058823529,0.4470794905577514,0.16424486010202505,0.6763485477178424,0.9851927542051864,74.26470588235294,76.79411764705883,0,0,0.0
9,0,CHI,34,34,1119,555,455,177,0.45714285714285713,0.7796610169491526,0.14285714285714285,0.52075514187059,0.24128686327077747,0.032171581769437,0.040214477211796246,0.06970509383378017,0.7959183673469388,0.4582417582417582,0.7796610169491526,74.0,162,0.0,34,12,22,0.35294117647058826,0.4542857142857143,0.17603980846868839,0.6945812807881774,0.9879819752572778,72.70588235294117,73.82352941176471,0,0,0.0
10,0,CHI,34,34,1186,534,476,130,0.42857142857142855,0.7846153846153846,0.3870967741935484,0.5007501875468867,0.22596964586846544,0.02951096121416526,0.03456998313659359,0.06323777403035413,0.9259259259259259,0.453781512605042,0.7846153846153846,74.0,162,0.0,34,16,18,0.47058823529411764,0.4789325842696629,0.17894864308491315,0.7604617604617605,0.9617801506735619,75.67647058823529,79.20588235294117,0,0,0.0
1,0,UTA,32,32,775,294,236,103,0.4449152542372881,0.7961165048543689,0.14285714285714285,0.5225366131096261,0.22580645161290322,0.023225806451612905,0.12387096774193548,0.06580645161290323,0.6219512195121951,0.4491525423728814,0.7961165048543689,9.0,223,0.0,32,18,14,0.5625,0.4757383966244726,0.19514994977758646,0.7708860759493671,1.0683431623456103,75.40625,75.21875,0,0,0.0
2,0,UTA,32,32,970,349,291,109,0.43986254295532645,0.7981651376146789,0.4,0.5148100070804815,0.25051546391752577,0.02577319587628866,0.11649484536082474,0.06597938144329897,0.7111111111111111,0.45017182130584193,0.7981651376146789,9.0,223,0.0,32,19,13,0.59375,0.4597079502433748,0.18681318681318682,0.7511111111111111,1.0115015820109654,68.96875,68.5,1,2,0.0
2,0,UTA,32,32,970,349,291,109,0.43986254295532645,0.7981651376146789,0.4,0.5148100070804815,0.25051546391752577,0.02577319587628866,0.11649484536082474,0.06597938144329897,0.7111111111111111,0.45017182130584193,0.7981651376146789,9.0,223,0.0,32,19,13,0.59375,0.4597079502433748,0.18681318681318682,0.7511111111111111,1.0115015820109654,68.96875,68.5,1,1,0.0
3,0,UTA,30,27,876,394,319,135,0.43573667711598746,0.8444444444444444,0.25,0.5206131078224102,0.2990867579908676,0.028538812785388126,0.12214611872146118,0.08105022831050228,0.7395833333333334,0.438871473354232,0.8444444444444444,9.0,223,0.0,32,20,12,0.625,0.4644165358451073,0.18613872683963542,0.7618483412322274,1.0161569822908592,75.5625,73.25,1,0,0.0
